,Dates,data,SMA30,SMA300,year,Buy_Signal,Sell_Signal,Signal_On_Dates,Updates_On_ShortTrades,Updates_On_LongTrades,Cummulative_Algo_Returns,Cummulative_Market_returns,month
0,1980-01-02,105.76,,,1980,,,,,,0.0,100.0,1
1,1980-01-03,105.22,,,1980,,,,,,0.0,-0.5105900151285989,1
2,1980-01-04,106.52,,,1980,,,,,,0.0,0.7186081694402334,1
3,1980-01-07,106.81,,,1980,,,,,,0.0,0.9928139183055948,1
4,1980-01-08,108.95,,,1980,,,,,,0.0,3.0162632375189085,1
5,1980-01-09,109.05,,,1980,,,,,,0.0,3.110816944024198,1
6,1980-01-10,109.89,,,1980,,,,,,0.0,3.905068078668679,1
7,1980-01-11,109.92,,,1980,,,,,,0.0,3.933434190620269,1
8,1980-01-14,110.38,,,1980,,,,,,0.0,4.36838124054462,1
9,1980-01-15,111.14,,,1980,,,,,,0.0,5.0869894099848665,1
10,1980-01-16,111.05,,,1980,,,,,,0.0,5.001891074130098,1
11,1980-01-17,110.7,,,1980,,,,,,0.0,4.670953101361571,1
12,1980-01-18,111.07,,,1980,,,,,,0.0,5.020801815431154,1
13,1980-01-21,112.1,,,1980,,,,,,0.0,5.994704992435692,1
14,1980-01-22,111.51,,,1980,,,,,,0.0,5.4368381240544625,1
15,1980-01-23,113.44,,,1980,,,,,,0.0,7.261724659606649,1
16,1980-01-24,113.7,,,1980,,,,,,0.0,7.507564296520421,1
17,1980-01-25,113.61,,,1980,,,,,,0.0,7.422465960665653,1
18,1980-01-28,114.85,,,1980,,,,,,0.0,8.594931921331305,1
19,1980-01-29,114.07,,,1980,,,,,,0.0,7.857413010590004,1
20,1980-01-30,115.2,,,1980,,,,,,0.0,8.925869894099845,1
21,1980-01-31,114.16,,,1980,,,,,,0.0,7.942511346444772,1
22,1980-02-01,115.12,,,1980,,,,,,0.0,8.850226928895612,2
23,1980-02-04,114.37,,,1980,,,,,,0.0,8.141074130105899,2
24,1980-02-05,114.66,,,1980,,,,,,0.0,8.415279878971246,2
25,1980-02-06,115.72,,,1980,,,,,,0.0,9.417549167927376,2
26,1980-02-07,116.28,,,1980,,,,,,0.0,9.94704992435703,2
27,1980-02-08,117.95,,,1980,,,,,,0.0,11.52609682299546,2
28,1980-02-11,117.12,,,1980,,,,,,0.0,10.741301059001513,2
29,1980-02-12,117.9,112.27399999999996,,1980,,,,,,0.0,11.478819969742814,2
30,1980-02-13,118.44,112.69666666666663,,1980,,,,,,0.0,11.9894099848714,2
31,1980-02-14,116.72,113.07999999999996,,1980,,,,,,0.0,10.363086232980326,2
32,1980-02-15,115.41,113.37633333333329,,1980,,,,,,0.0,9.124432677760959,2
33,1980-02-19,114.6,113.63599999999995,,1980,,,,,,0.0,8.358547655068067,2
34,1980-02-20,116.47,113.88666666666661,,1980,,,,,,0.0,10.12670196671709,2
35,1980-02-21,115.28,114.09433333333328,,1980,,,,,,0.0,9.00151285930408,2
36,1980-02-22,115.04,114.26599999999995,,1980,,,,,,0.0,8.774583963691377,2
37,1980-02-25,113.33,114.37966666666662,,1980,,,,,,0.0,7.157715582450825,2
38,1980-02-26,113.98,114.49966666666661,,1980,,,,,,0.0,7.772314674735248,2
39,1980-02-27,112.38,114.54099999999995,,1980,,,,,,0.0,6.259455370650521,2
40,1980-02-28,112.35,114.58433333333328,,1980,,,,,,0.0,6.23108925869893,2
41,1980-02-29,113.66,114.68299999999995,,1980,,,,,,0.0,7.469742813918296,2
42,1980-03-03,112.5,114.73066666666661,,1980,,,,,,0.0,6.372919818456879,3
43,1980-03-04,112.78,114.75333333333329,,1980,,,,,,0.0,6.637670196671705,3
44,1980-03-05,111.13,114.74066666666661,,1980,,,,,,0.0,5.077534039334333,3
45,1980-03-06,108.65,114.58099999999995,,1980,,,,,,0.0,2.732602118003026,3
46,1980-03-07,106.9,114.35433333333329,,1980,,,,,,0.0,1.0779122541603636,3
47,1980-03-10,106.51,114.11766666666662,,1980,,,,,,0.0,0.7091527987897125,3
48,1980-03-11,107.78,113.88199999999998,,1980,,,,,,0.0,1.9099848714069554,3
49,1980-03-12,106.87,113.64199999999997,,1980,,,,,,0.0,1.049546142208774,3
50,1980-03-13,105.62,113.32266666666663,,1980,,,,,,0.0,-0.13237518910741355,3
51,1980-03-14,105.43,113.03166666666662,,1980,,,,,,0.0,-0.3120272314674719,3
52,1980-03-17,102.26,112.60299999999998,,1980,,,,,,0.0,-3.309379727685325,3
53,1980-03-18,104.1,112.26066666666664,,1980,,,,,,0.0,-1.5695915279879074,3
54,1980-03-19,104.31,111.91566666666664,,1980,,,,,,0.0,-1.3710287443267801,3
55,1980-03-20,103.12,111.49566666666665,,1980,,,,,,0.0,-2.4962178517397886,3
56,1980-03-21,102.31,111.02999999999997,,1980,,,,,,0.0,-3.26210287443268,3
57,1980-03-24,99.28,110.40766666666666,,1980,,,,,,0.0,-6.12708018154312,3
58,1980-03-25,99.19,109.80999999999999,,1980,,,,,,0.0,-6.212178517397888,3
59,1980-03-26,98.68,109.16933333333331,,1980,,,,,,0.0,-6.694402420574884,3
60,1980-03-27,98.22,108.4953333333333,,1980,,,,,,0.0,-7.12934947049925,3
61,1980-03-28,100.68,107.96066666666664,,1980,,,,,,0.0,-4.8033282904689845,3
62,1980-03-31,102.09,107.51666666666665,,1980,,,,,,0.0,-3.470121028744328,3
63,1980-04-01,102.18,107.10266666666665,,1980,,,,,,0.0,-3.3850226928895597,4
64,1980-04-02,102.68,106.64299999999999,,1980,,,,,,0.0,-2.9122541603630845,4
65,1980-04-03,102.15,106.20533333333331,,1980,,,,,,0.0,-3.413388804841149,4
66,1980-04-07,100.19,105.71033333333331,,1980,,,,,,0.0,-5.266641452344938,4
67,1980-04-08,101.2,105.30599999999998,,1980,,,,,,0.0,-4.3116490166414545,4
68,1980-04-09,103.11,104.94366666666664,,1980,,,,,,0.0,-2.505673222390323,4
69,1980-04-10,104.08,104.66699999999997,,1980,,,,,,0.0,-1.5885022692889625,4
70,1980-04-11,103.79,104.38166666666665,,1980,,,,,,0.0,-1.8627080181543105,4
71,1980-04-14,102.84,104.02099999999999,,1980,,,,,,0.0,-2.760968229954616,4
72,1980-04-15,102.63,103.692,,1980,,,,,,0.0,-2.959531013615743,4
73,1980-04-16,101.54,103.31733333333332,,1980,,,,,,0.0,-3.990166414523448,4
74,1980-04-17,101.05,102.98133333333332,,1980,,,,,,0.0,-4.453479576399402,4
75,1980-04-18,100.55,102.71133333333333,,1980,,,,,,0.0,-4.926248108925877,4
76,1980-04-21,99.8,102.47466666666666,,1980,,,,,,0.0,-5.6354009077155895,4
77,1980-04-22,103.43,102.37199999999999,,1980,,,,,,0.0,-2.203101361573372,4
78,1980-04-23,103.73,102.23699999999998,,1980,,,,,,0.0,-1.9194402420574896,4
79,1980-04-24,104.4,102.15466666666664,,1980,,,,,,0.0,-1.2859304084720116,4
80,1980-04-25,105.16,102.13933333333331,,1980,,,,,,0.0,-0.567322239031778,4
81,1980-04-28,105.64,102.14633333333332,,1980,,,,,,0.0,-0.11346444780635831,4
82,1980-04-29,105.86,102.26633333333331,,1980,,,,,,0.0,0.09455370650528963,4
83,1980-04-30,106.29,102.33933333333331,,1980,,,,,,0.0,0.5011346444780646,4
84,1980-05-01,105.46,102.37766666666666,,1980,,,,,,0.0,-0.28366111951589573,5
85,1980-05-02,105.58,102.45966666666665,,1980,,,,,,0.0,-0.17019667170953745,5
86,1980-05-05,106.38,102.59533333333333,,1980,,,,,,0.0,0.5862329803328199,5
87,1980-05-06,106.25,102.82766666666664,,1980,,,,,,0.0,0.4633131618759407,5
88,1980-05-07,107.18,103.09399999999998,,1980,,,,,,0.0,1.3426626323751907,5
89,1980-05-08,106.13,103.34233333333331,,1980,,,,,,0.0,0.3498487140695824,5
90,1980-05-09,104.72,103.55899999999998,,1980,,,,,,0.0,-0.9833585476550739,5
91,1980-05-12,104.78,103.69566666666667,,1980,,,,,,0.0,-0.9266263237518948,5
92,1980-05-13,106.3,103.836,,1980,,,,,,0.0,0.5105900151285855,5
93,1980-05-14,106.85,103.99166666666666,,1980,,,,,,0.0,1.0306354009077052,5
94,1980-05-15,106.99,104.13533333333334,,1980,,,,,,0.0,1.1630105900151189,5
95,1980-05-16,107.35,104.30866666666665,,1980,,,,,,0.0,1.5034039334341804,5
96,1980-05-19,107.67,104.55799999999999,,1980,,,,,,0.0,1.8059757942511314,5
97,1980-05-20,107.62,104.77199999999999,,1980,,,,,,0.0,1.7586989409984866,5
98,1980-05-21,107.72,104.92566666666666,,1980,,,,,,0.0,1.853252647503776,5
99,1980-05-22,109.01,105.08999999999999,,1980,,,,,,0.0,3.072995461422088,5
100,1980-05-23,110.62,105.31766666666665,,1980,,,,,,0.0,4.5953101361573365,5
101,1980-05-27,111.4,105.603,,1980,,,,,,0.0,5.332829046898638,5
102,1980-05-28,112.06,105.91733333333332,,1980,,,,,,0.0,5.956883509833583,5
103,1980-05-29,110.27,106.20833333333331,,1980,,,,,,0.0,4.264372163388796,5
104,1980-05-30,111.24,106.54799999999997,,1980,,,,,,0.0,5.181543116490157,5
105,1980-06-02,110.76,106.8883333333333,,1980,,,,,,0.0,4.72768532526475,6
106,1980-06-03,110.51,107.2453333333333,,1980,,,,,,0.0,4.491301059001513,6
107,1980-06-04,112.61,107.55133333333332,,1980,,,,,,0.0,6.476928895612702,6
108,1980-06-05,112.78,107.853,,1980,,,,,,0.0,6.637670196671705,6
109,1980-06-06,113.2,108.14633333333332,,1980,,,,,,0.0,7.034795763993946,6
110,1980-06-09,113.71,108.43133333333331,,1980,,,,,,0.0,7.517019667170942,6
111,1980-06-10,114.66,108.73199999999999,,1980,,,,,,0.0,8.415279878971246,6
112,1980-06-11,116.02,109.07066666666665,,1980,,,,,,0.0,9.701210287443258,6
113,1980-06-12,115.52,109.37833333333332,,1980,,,,,,0.0,9.228441754916783,6
114,1980-06-13,115.81,109.72333333333331,,1980,,,,,,0.0,9.502647503782146,6
115,1980-06-16,116.09,110.07366666666665,,1980,,,,,,0.0,9.767397881996972,6
116,1980-06-17,116.03,110.39533333333333,,1980,,,,,,0.0,9.710665658093793,6
117,1980-06-18,116.26,110.729,,1980,,,,,,0.0,9.928139183055976,6
118,1980-06-19,114.66,110.97833333333332,,1980,,,,,,0.0,8.415279878971246,6
119,1980-06-20,114.06,111.24266666666666,,1980,,,,,,0.0,7.847957639939483,6
120,1980-06-23,114.51,111.569,,1980,,,,,,0.0,8.273449319213313,6
121,1980-06-24,115.14,111.91433333333333,,1980,,,,,,0.0,8.869137670196666,6
122,1980-06-25,116.72,112.26166666666664,,1980,,,,,,0.0,10.363086232980326,6
123,1980-06-26,116.19,112.573,,1980,,,,,,0.0,9.861951588502262,6
124,1980-06-27,116.0,112.87333333333332,,1980,,,,,,0.0,9.682299546142204,6
125,1980-06-30,114.24,113.103,,1980,,,,,,0.0,8.018154311649006,6
126,1980-07-01,114.93,113.34499999999998,,1980,,,,,,0.0,8.670574886535555,7
127,1980-07-02,115.68,113.61366666666665,,1980,,,,,,0.0,9.379727685325266,7
128,1980-07-03,117.46,113.93833333333332,,1980,,,,,,0.0,11.062783661119505,7
129,1980-07-07,118.29,114.24766666666665,,1980,,,,,,0.0,11.847579425113464,7
130,1980-07-08,117.84,114.48833333333332,,1980,,,,,,0.0,11.422087745839635,7
131,1980-07-09,117.98,114.70766666666665,,1980,,,,,,0.0,11.554462934947049,7
132,1980-07-10,116.95,114.87066666666665,,1980,,,,,,0.0,10.580559757942508,7
133,1980-07-11,117.84,115.12299999999999,,1980,,,,,,0.0,11.422087745839635,7
134,1980-07-14,120.01,115.41533333333334,,1980,,,,,,0.0,13.473903177004537,7
135,1980-07-15,119.3,115.7,,1980,,,,,,0.0,12.802571860816935,7
136,1980-07-16,119.63,116.00399999999999,,1980,,,,,,0.0,13.114599092284408,7
137,1980-07-17,121.44,116.29833333333333,,1980,,,,,,0.0,14.82602118003025,7
138,1980-07-18,122.04,116.60699999999999,,1980,,,,,,0.0,15.393343419062026,7
139,1980-07-21,122.51,116.91733333333333,,1980,,,,,,0.0,15.837745839636913,7
140,1980-07-22,122.19,117.2,,1980,,,,,,0.0,15.535173978819962,7
141,1980-07-23,121.93,117.44233333333334,,1980,,,,,,0.0,15.289334341906205,7
142,1980-07-24,121.79,117.63466666666666,,1980,,,,,,0.0,15.15695915279879,7
143,1980-07-25,120.78,117.81,,1980,,,,,,0.0,14.201966717095305,7
144,1980-07-28,121.43,117.99733333333333,,1980,,,,,,0.0,14.816565809379728,7
145,1980-07-29,122.4,118.20766666666667,,1980,,,,,,0.0,15.733736762481088,7
146,1980-07-30,122.23,118.41433333333333,,1980,,,,,,0.0,15.572995461422087,7
147,1980-07-31,121.67,118.59466666666665,,1980,,,,,,0.0,15.043494704992431,7
148,1980-08-01,121.21,118.813,,1980,,,,,,0.0,14.608547655068067,8
149,1980-08-04,120.98,119.04366666666667,,1980,,,,,,0.0,14.391074130105899,8
150,1980-08-05,120.74,119.25133333333332,,1980,,,,,,0.0,14.164145234493184,8
151,1980-08-06,121.55,119.46499999999999,,1980,,,,,,0.0,14.930030257186072,8
152,1980-08-07,123.3,119.68433333333334,,1980,,,,,,0.0,16.584720121028734,8
153,1980-08-08,123.61,119.93166666666667,,1980,,,,,,0.0,16.877836611195153,8
154,1980-08-11,124.78,120.22433333333335,,1980,,,,,,0.0,17.984114977307105,8
155,1980-08-12,123.79,120.54266666666669,,1980,,,,,,0.0,17.04803328290469,8
156,1980-08-13,123.28,120.82100000000004,,1980,,,,,,0.0,16.565809379727682,8
157,1980-08-14,125.25,121.14000000000004,,1980,,,,,,0.0,18.428517397881993,8
158,1980-08-15,125.72,121.41533333333336,,1980,,,,,,0.0,18.872919818456875,8
159,1980-08-18,123.39,121.58533333333337,,1980,,,,,,0.0,16.669818456883505,8
160,1980-08-19,122.6,121.74400000000001,,1980,,,,,,0.0,15.922844175491667,8
161,1980-08-20,123.77,121.93700000000003,,1980,,,,,,0.0,17.02912254160362,8
162,1980-08-21,125.46,122.22066666666669,,1980,,,,,,0.0,18.627080181543104,8
163,1980-08-22,126.02,122.49333333333335,,1980,,,,,,0.0,19.15658093797276,8
164,1980-08-25,125.16,122.665,,1980,,,,,,0.0,18.343419062027223,8
165,1980-08-26,124.84,122.84966666666668,,1980,,,,,,0.0,18.040847201210283,8
166,1980-08-27,123.52,122.97933333333334,,1980,,,,,,0.0,16.792738275340383,8
167,1980-08-28,122.08,123.00066666666666,,1980,,,,,,0.0,15.431164901664138,8
168,1980-08-29,122.38,123.012,,1980,,,,,,0.0,15.714826021180022,8
169,1980-09-02,123.73,123.05266666666667,,1980,,,,,,0.0,16.99130105900151,9
170,1980-09-03,126.12,123.18366666666665,,1980,,,,,,0.0,19.251134644478064,9
171,1980-09-04,125.42,123.3,,1980,,,,,,0.0,18.589258698940995,9
172,1980-09-05,124.88,123.403,,1980,,,,,,0.0,18.078668683812396,9
173,1980-09-08,123.31,123.48733333333332,,1980,,,,,,0.0,16.59417549167927,9
174,1980-09-09,124.07,123.57533333333335,,1980,,,,,,0.0,17.312783661119504,9
175,1980-09-10,124.81,123.65566666666668,,1980,,,,,,0.0,18.012481089258696,9
176,1980-09-11,125.66,123.77,,1980,,,,,,0.0,18.816187594553696,9
177,1980-09-12,125.54,123.89899999999999,,1980,,,,,,0.0,18.702723146747353,9
178,1980-09-15,125.67,124.04766666666666,,1980,,,,,,0.0,18.82564296520423,9
179,1980-09-16,126.74,124.23966666666665,,1980,,,,,,0.0,19.837367624810884,9
180,1980-09-17,128.87,124.51066666666665,,1980,,,,,,0.0,21.851361573373676,9
181,1980-09-18,128.4,124.73899999999999,,1980,,,,,,0.0,21.406959152798787,9
182,1980-09-19,129.25,124.93733333333331,,1980,,,,,,0.0,22.21066565809379,9
183,1980-09-22,130.4,125.16366666666664,,1980,,,,,,0.0,23.29803328290469,9
184,1980-09-23,129.43,125.31866666666663,,1980,,,,,,0.0,22.38086232980333,9
185,1980-09-24,130.37,125.53799999999997,,1980,,,,,,0.0,23.2696671709531,9
186,1980-09-25,128.72,125.71933333333328,,1980,,,,,,0.0,21.709531013615727,9
187,1980-09-26,126.35,125.75599999999994,,1980,,,,,,0.0,19.468608169440234,9
188,1980-09-29,123.54,125.6833333333333,,1980,,,,,,0.0,16.81164901664145,9
189,1980-09-30,125.46,125.7523333333333,,1980,,,,,,0.0,18.627080181543104,9
190,1980-10-01,127.13,125.9033333333333,,1980,,,,,,0.0,20.206127080181535,10
191,1980-10-02,128.09,126.0473333333333,,1980,,,,,,0.0,21.113842662632376,10
192,1980-10-03,129.33,126.1763333333333,,1980,,,,,,0.0,22.28630862329804,10
193,1980-10-06,131.73,126.36666666666663,,1980,,,,,,0.0,24.5555975794251,10
194,1980-10-07,131.0,126.56133333333331,,1980,,,,,,0.0,23.865355521936454,10
195,1980-10-08,131.65,126.78833333333331,,1980,,,,,,0.0,24.479954614220876,10
196,1980-10-09,131.04,127.03899999999997,,1980,,,,,,0.0,23.903177004538563,10
197,1980-10-10,130.29,127.31266666666664,,1980,,,,,,0.0,23.19402420574885,10
198,1980-10-13,132.03,127.63433333333332,,1980,,,,,,0.0,24.83925869894099,10
199,1980-10-14,132.02,127.91066666666664,,1980,,,,,,0.0,24.82980332829047,10
200,1980-10-15,133.7,128.1633333333333,,1980,,,,,,0.0,26.41830559757941,10
201,1980-10-16,132.22,128.38999999999996,,1980,,,,,,0.0,25.018910741301053,10
202,1980-10-17,131.52,128.6113333333333,,1980,,,,,,0.0,24.357034795763997,10
203,1980-10-20,132.61,128.9213333333333,,1980,,,,,,0.0,25.387670196671717,10
204,1980-10-21,131.84,129.1803333333333,,1980,,,,,,0.0,24.659606656580937,10
205,1980-10-22,131.92,129.4173333333333,,1980,,,,,,0.0,24.735249621785155,10
206,1980-10-23,129.53,129.5463333333333,,1980,,,,,,0.0,22.47541603630862,10
207,1980-10-24,129.85,129.68999999999997,,1980,,,,,,0.0,22.77798789712556,10
208,1980-10-27,127.88,129.76366666666664,,1980,,,,,,0.0,20.915279878971248,10
209,1980-10-28,128.05,129.80733333333333,,1980,,,,,,0.0,21.07602118003026,10
210,1980-10-29,127.91,129.77533333333332,,1980,,,,,,0.0,20.943645990922835,10
211,1980-10-30,126.29,129.70499999999998,,1980,,,,,,0.0,19.411875945537066,10
212,1980-10-31,127.47,129.64566666666664,,1980,,,,,,0.0,20.52760968229954,10
213,1980-11-03,129.04,129.6003333333333,,1980,,,,,,0.0,22.012102874432664,11
214,1980-11-05,131.33,129.66366666666664,,1980,,,,,,0.0,24.17738275340394,11
215,1980-11-06,128.91,129.61499999999998,,1980,,,,,,0.0,21.889183055975785,11
216,1980-11-07,129.18,129.6303333333333,,1980,,,,,,0.0,22.144478063540088,11
217,1980-11-10,129.48,129.73466666666664,,1980,,,,,,0.0,22.42813918305596,11
218,1980-11-11,131.26,129.992,,1980,,,,,,0.0,24.11119515885021,11
219,1980-11-12,134.59,130.2963333333333,,1980,,,,,,0.0,27.25983358547655,11
220,1980-11-13,136.49,130.6083333333333,,1980,,,,,,0.0,29.056354009077157,11
221,1980-11-14,137.15,130.9103333333333,,1980,,,,,,0.0,29.6804084720121,11
222,1980-11-17,137.75,131.19099999999997,,1980,,,,,,0.0,30.247730711043868,11
223,1980-11-18,139.7,131.45666666666662,,1980,,,,,,0.0,32.09152798789711,11
224,1980-11-19,139.06,131.72533333333328,,1980,,,,,,0.0,31.486384266263233,11
225,1980-11-20,140.4,132.01699999999997,,1980,,,,,,0.0,32.753403933434186,11
226,1980-11-21,139.11,132.28599999999997,,1980,,,,,,0.0,31.53366111951589,11
227,1980-11-24,138.31,132.5533333333333,,1980,,,,,,0.0,30.77723146747352,11
228,1980-11-25,139.33,132.79666666666665,,1980,,,,,,0.0,31.74167927382754,11
